product_id,price
P001,41.89
P002,10.94
P003,13.16
P004,34.27
P005,8.5
P006,24.02
P007,27.46
P008,39.62
P009,39.13
P010,40.16
P011,38.89
P012,47.97
P013,33.32
P014,6.19
P015,31.15
P016,7.17
P017,20.53
P018,34.8
P019,44.77
P020,11.09
P021,27.67
P022,21.61
P023,35.04
P024,33.86
P025,26.95
P026,24.21
P027,21.42
P028,36.47
P029,18.64
P030,48.89
P031,33.25
P032,46.49
P033,12.51
P034,31.06
P035,18.7
P036,13.69
P037,23.65
P038,41.2
P039,45.58
P040,29.43
P041,10.94
P042,24.01
P043,42.76
P044,46.01
P045,24.0
P046,9.28
P047,15.8
P048,36.26
P049,43.65
P050,29.48
product_id,price
P001,41.89
P002,10.94
P003,13.16
P004,34.27
P005,8.5
P006,24.02
P007,27.46
P008,39.62
P009,39.13
P010,40.16
P011,38.89
P012,47.97
P013,33.32
P014,6.19
P015,31.15
P016,7.17
P017,20.53
P018,34.8
P019,44.77
P020,11.09
P021,27.67
P022,21.61
P023,35.04
P024,33.86
P025,26.95
P026,24.21
P027,21.42
P028,36.47
P029,18.64
P030,48.89
P031,33.25
P032,46.49
P033,12.51
P034,31.06
P035,18.7
P036,13.69
P037,23.65
P038,41.2
P039,45.58
P040,29.43
P041,10.94
P042,24.01
P043,42.76
P044,46.01
P045,24.0
P046,9.28
P047,15.8
P048,36.26
P049,43.65
P050,29.48
